,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
scaffold1.g1,1.57832400593767,2.72478092031624,1.89668494762854,1.43660175282304,0.150831185279973,0.286889228830345
scaffold1.g2,6632.46979399765,0.347152917985181,0.363921376950392,0.953922852497075,0.340122694871263,0.502279488509124
scaffold1.g3,59.4688423545008,0.545022207301974,0.434243955339019,1.25510603107064,0.20944027137783,0.360057192634571
scaffold1.g4,365.276952078202,-0.535592517505842,0.33111822744859,-1.61752653012435,0.105764673698943,0.224432621368826
scaffold1.g5,301.040762112238,-0.671519586583943,0.259700320007478,-2.58574801357429,0.00971679388488561,0.04053864573744
scaffold1.g6,8.75376150924299,1.02561785450909,1.60339547026176,0.639653705858137,0.522397758646714,0.668530945941108
scaffold1.g7,105.172049534347,1.25132104641387,0.75526598302044,1.65679518811323,0.0975608902023093,0.211987116027118
scaffold1.g8,309.494151731683,0.370970913206653,0.412409922331099,0.899519854201816,0.368375825330008,0.530774977317365
scaffold1.g9,150.1725435445,-0.028052514620165,0.311691775129973,-0.0900008176618306,0.928286565066805,0.958596690614736
scaffold1.g10,203.080135110257,0.00936645319192855,0.25229806270181,0.0371245545511727,0.970385693819928,0.984436359878481
scaffold1.g11,121.001947463538,-0.235346423928073,0.27526201420905,-0.854990560918212,0.392556373292997,0.553837622675425
scaffold1.g12,259.397050798983,-0.00427243898931363,0.498573014140937,-0.0085693346172681,0.993162743893234,0.996475566939467
scaffold1.g13,549.490397891659,1.01738825967407,0.315677575733781,3.22287149256385,0.00126912477211508,0.00857433833465345
scaffold1.g14,27.208848099761,1.48394462843372,0.634426361699674,2.339033681479,0.0193336904054041,0.0678100398718311
scaffold1.g15,843.991541150848,-0.937489561658587,0.391028708453928,-2.39749548150899,0.0165075845716597,0.0602419079324198
scaffold1.g16,5.70734759479197,-0.382121173848121,0.916315043625009,-0.417019426349722,0.676664198502914,0.788090551270843
scaffold1.g17,62.2353403499465,-3.47414342934889,0.431892060998002,-8.0440085453781,8.69464536334489e-16,5.48079547015588e-14
scaffold1.g18,6.73249178044938,1.45927451030233,0.786764700506249,1.8547788295069,0.0636278164045117,0.157057583031135
scaffold1.g19,94.9006075323381,-0.0165786343798878,0.361554917438293,-0.0458537101288834,0.963426849305446,0.979928371405506
scaffold1.g20,8735.19618199148,-0.184382361914109,0.417730823244095,-0.441390368281174,0.658930413897363,0.775807579296363
scaffold1.g21,1249.31234673215,-0.0940713811650635,0.457989281933002,-0.205400835513057,0.837258967547768,0.899785142095122
scaffold1.g22,64.6397192543777,-1.26793382520976,0.465554977512018,-2.72348892495093,0.00645963813820572,0.0298427910358768
scaffold1.g23,177.791134963911,-1.98111480062568,0.445250384949317,-4.44943983788175,8.60945417146914e-06,0.000126593743510662
scaffold1.g24,158.467087249857,-2.94538294941178,0.431719632944063,-6.82244383774273,8.95046262899969e-12,3.64780783994563e-10
scaffold1.g25,209.134670667172,-2.04553112061721,0.386426617610788,-5.29345295431353,1.20028130723488e-07,2.6010481296093e-06
scaffold1.g26,236.514076240944,-1.92428203188152,0.448552941189195,-4.28997751476092,1.78691209106862e-05,0.000242398128902656
scaffold1.g27,129.721780275245,-1.36461912275038,0.432951867980661,-3.15189568095669,0.00162214215479139,0.0103814847015592
scaffold1.g28,53.3553003294937,-0.601804717735074,0.411569556389885,-1.46221873895108,0.143681278161584,0.277292141053457
scaffold1.g29,197.281737034393,0.26205733810889,0.349838670761003,0.749080533432274,0.453808667262309,0.608884715110297
scaffold1.g30,540.316369778542,0.904687814430388,0.410455517043916,2.20410684438088,0.027516830925776,0.0875106752452938
scaffold1.g31,155.077399291912,0.115085450816052,0.719136580087676,0.160032814353597,0.872855225213622,0.922315577049012
scaffold1.g32,179.181075688361,-0.144842738668833,0.527661559896511,-0.274499318648948,0.783700927156143,0.863728374574533
scaffold1.g33,586.809489353846,-0.707454877917993,0.275507768300354,-2.56782188858914,0.0102339724701515,0.0421812213533665
scaffold1.g34,641.815871870216,-0.786948414477474,0.481017908405278,-1.63600647860794,0.101838231502103,0.218770842765902
scaffold1.g35,573.506366899196,-0.00761637755991811,0.292312995392487,-0.0260555557911192,0.979213026356045,0.989275617099687
scaffold1.g36,11.3503297857986,2.85536688695142,1.45780115026924,1.95868063790735,0.0501501993458691,0.132902545215527
scaffold1.g37,10.8188844808441,2.10074427183379,0.742801885974076,2.82813535008593,0.00468200066736305,0.0232768256020419
scaffold1.g38,45.9657690988062,2.49985743937902,1.10274697597777,2.26693656281621,0.0233941012629131,0.0776706615775157
scaffold1.g39,102.895495072619,1.10082857812124,0.581598007416038,1.89276538792159,0.0583890763792947,0.147858794897897
scaffold1.g40,366.999683687013,0.644299272224761,0.419665759002334,1.5352676705301,0.12471809198279,0.251774420735319
scaffold1.g41,643.532187693427,1.08047817594204,0.361039401672561,2.9926876981753,0.00276532563914443,0.0155869399125104
scaffold1.g42,207.5239492133,-0.311139058314502,0.248429481661143,-1.25242405303125,0.210415386271867,0.361307085151487
scaffold1.g43,425.004991645236,0.132638328995377,0.312512786683489,0.424425286411441,0.671255682748071,0.784411912870545
scaffold1.g44,13.6872896504603,1.21073608341966,0.592712881368284,2.04270249808755,0.0410818973911157,0.115458909651902
scaffold1.g45,725.022652873893,-0.318988233567417,0.362973196509272,-0.87882035542883,0.379498687640583,0.541240167939895
scaffold1.g46,143.886042070734,0.0513673432821624,0.385572322132545,0.133223627147449,0.894016525636963,0.93665262879717
scaffold1.g47,125.738893908878,-0.331398687467517,0.253833884191297,-1.30557308581294,0.191697777948861,0.339315121477475
