,Rhop_mean,Tent_mean,M,D,prob,ranking,Length
comp119_c0,0.450884009953174,1.05934089592679,-1.23233867075567,0.608456885973619,0.436480741003189,-1.37436471925343,350
comp355_c0,0.469670843701223,0.0919566749936452,2.35262382996549,0.377714168707578,0.325649137014729,2.38275195489668,336
comp680_c0,0.119191392359223,0.186691497268065,-0.647376170034512,0.0675001049088424,0.149951915776687,-0.650885680969599,331
comp1097_c0,0.131070933125923,0.205298623241626,-0.647376170034512,0.0742276901157037,0.149951915776687,-0.651617721910988,301
comp1262_c0,NA,NA,NA,NA,NA,0,384
comp1539_c0,0.224799720062124,0.528161415348116,-1.23233867075567,0.303361695285992,0.278126739889659,-1.26912840863588,351
comp2010_c0,2.76858602602826,0.135515099990635,4.35262382996549,2.63307092603763,0.861190970289011,5.08708135444363,456
comp2170_c0,NA,NA,NA,NA,NA,0,298
comp2190_c0,0.515717004848402,0.605832211722839,-0.232338670755668,0.0901152068744371,0.160259654805892,-0.249202745648064,306
comp2223_c0,0.119552578396675,0.374514458155937,-1.64737617003451,0.254961879759262,0.250883231259807,-1.6669894437962,330
comp2280_c0,19.3492421468759,4.32957797167532,2.15997875202309,15.0196641752006,0.972926051526041,15.1741826845796,314
comp2471_c0,0.231392087219371,0.724866693205039,-1.64737617003451,0.493474605985668,0.383340081996254,-1.71969922729246,341
comp2797_c0,3.18806875724467,1.24838152718646,1.35262382996549,1.93968723005821,0.731824163587589,2.3647363015443,396
comp2839_c0,0.229374132970365,0.179636295336423,0.352623829965488,0.0497378376339417,0.132537834691502,0.356114332696719,344
comp3117_c0,0.183073553925303,0.143375604630463,0.352623829965488,0.0396979492948397,0.120289011489599,0.35485136696615,431
comp3363_c0,0.122143501148306,0.191315435280897,-0.647376170034512,0.0691719341325908,0.149951915776687,-0.651061181457009,323
comp3730_c0,0.0810109874145847,0.634444410633774,-2.96930426492187,0.553433423219189,0.418960368476995,-3.02043976460703,487
comp3888_c0,0.22870928041103,0.358231220844809,-0.647376170034512,0.129521940433779,0.17938452194159,-0.660205906200698,345
comp3903_c0,0.674399160186372,1.05632283069623,-0.647376170034512,0.38192367050986,0.276157817482411,-0.751639272273793,351
comp4003_c0,0.191982242680792,0.451057559092917,-1.23233867075567,0.259075316412125,0.256007997165562,-1.2592770223481,411
comp4124_c0,NA,NA,NA,NA,NA,0,369
comp4584_c0,0.126449842534945,0.198060530755544,-0.647376170034512,0.0716106882205988,0.149951915776687,-0.651324800845155,312
comp4768_c0,NA,NA,NA,NA,NA,0,298
comp4982_c0,NA,NA,NA,NA,NA,0,342
comp5227_c0,1.15793063352754,0.0647745132030708,4.15997875202309,1.09315612032447,0.613921648023485,4.30121070405606,477
comp5672_c0,0.817665303023891,0.800451885955046,0.0306957350781254,0.0172134170688448,0.0412992863288961,0.0351927532195544,386
comp5704_c0,0.494700324400034,1.54971499926595,-1.64737617003451,1.05501467486591,0.585202712962494,-1.95624748173129,319
comp5751_c0,0.834087756255872,1.43709036269139,-0.784879693784447,0.603002606435514,0.353682239206357,-0.9897718308192,473
comp5869_c0,8.47931123195522,0.368924690123759,4.5225488314078,8.11038654183146,0.982173406893759,9.28610886164861,335
comp5883_c0,NA,NA,NA,NA,NA,0,325
comp5946_c0,0.0898686807993229,0.281525674695807,-1.64737617003451,0.191656993896484,0.218884446019132,-1.65848745816995,439
comp5964_c0,0.0943836145236908,1.77401585442286,-4.23233867075567,1.67963223989917,0.746224123095612,-4.55344431011103,418
comp5964_c1,0.174567924207534,0.410143045989356,-1.23233867075567,0.235575121781821,0.245133370450979,-1.25465303468424,452
comp6087_c0,NA,NA,NA,NA,NA,0,304
comp6750_c0,1.94826424053841,0.572174866627126,1.76766132924433,1.37608937391128,0.660087563901402,2.24014475869248,324
comp7072_c0,0.108088632523021,0.507903169279969,-2.23233867075567,0.399814536756948,0.337371564508782,-2.26785969688457,365
comp7187_c0,NA,NA,NA,NA,NA,0,369
comp7248_c0,NA,NA,NA,NA,NA,0,414
comp7313_c0,0.124849211616781,0.391106870859048,-1.64737617003451,0.266257659242267,0.26199574834236,-1.66875444170278,316
comp7361_c0,0.260411556903649,2.65126571862866,-3.3478158881756,2.39085416172501,0.83916839601154,-4.11388561383989,303
comp7859_c0,0.648531795138128,1.01580633855994,-0.647376170034512,0.367274543421811,0.272574277471276,-0.744302690962657,365
comp7995_c0,0.130636923413585,0.409237652951851,-1.64737617003451,0.278600729538266,0.267674748190515,-1.67076827001737,302
comp8137_c0,0.131070933125923,0.205298623241626,-0.647376170034512,0.0742276901157037,0.149951915776687,-0.651617721910988,301
comp8146_c0,3.71025243300026,0.387428749816486,3.25951442557401,3.32282368318377,0.903755630915625,4.65463119055119,319
comp8805_c0,0.753866577151008,6.88796495493801,-3.19169668625832,6.134098377787,0.967378650604849,-6.91477336182767,314
comp8888_c0,NA,NA,NA,NA,NA,0,310
comp9672_c0,0.171905668282801,0.134629380382853,0.352623829965488,0.0372762878999476,0.120289011489599,0.354588616708333,459
comp10085_c0,0.108684162178795,0.34046768923267,-1.64737617003451,0.231783527053874,0.240074404008706,-1.66360207051179,363
comp10231_c0,0.126045849427804,0.197427749507123,-0.647376170034512,0.0713819000793189,0.149951915776687,-0.651299686156448,313
comp10276_c0,0.114354640205515,0.179115610422405,-0.647376170034512,0.0647609702168893,0.142440653945437,-0.650607323039009,345
comp10479_c0,1.51255019313365,0.59228324852137,1.35262382996549,0.920266944612282,0.541360024295186,1.6359958663568,313
comp10949_c0,1.43865515097261,48.3612148140492,-5.07105776372261,46.9225596630766,0.999319228627828,-47.1957861697207,713
comp10976_c0,1.30267196271849,0.0728713273534547,4.15997875202309,1.22980063536503,0.651052791415701,4.33795260693658,424
comp11024_c0,0.517407880274134,0.354560818991891,0.545268907907884,0.162847061282243,0.191676367869616,0.569067085060557,1220
comp11027_c0,4.21875902379806,5.66392605930306,-0.424983748698064,1.445167035505,0.493364377182771,-1.50635950130365,1702
comp11028_c0,9.49590650791104,4.44182390023156,1.09615353378919,5.05408260767948,0.853383610872096,5.17158617591225,4271
comp11038_c0,0.23910515679335,0.187257229077968,0.352623829965488,0.0518479277153816,0.132537834691502,0.356415169525525,330
comp11049_c0,8.18760085019572,5.04184213019551,0.699489826602753,3.14575872000021,0.683851293212532,3.22258963288504,2390
comp11063_c0,1.05608587417331,1.18154656970802,-0.16194934286427,0.125460695534718,0.17242243255555,-0.204860869319214,523
comp11064_c0,NA,NA,NA,NA,NA,0,399
comp11066_c0,1.30636923413585,0.204618826475926,2.67455192485285,1.10175040765993,0.615386951460242,2.89259087316421,302
comp11071_c0,0.586216209077307,0.826380342290589,-0.495373076589462,0.240164133213282,0.222629953940376,-0.550520931383899,673
comp11079_c0,0.109589863530285,0.858262299940689,-2.96930426492187,0.748672436410403,0.503107759275194,-3.06223419005208,360
comp11085_c0,38.7211069447872,12.8716619599225,1.58892185332715,25.8494449848647,0.936010021764438,25.8982331189123,1133
