,results.star.mapping.SRR8101518.Aligned.out.sam,results.star.mapping.SRR8101523.Aligned.out.sam,results.star.mapping.SRR8101526.Aligned.out.sam,results.star.mapping.SRR8101525.Aligned.out.sam
comp119_c0,5.5689630659814,2.14883044211777,4.93528981281829,1.52305950894212
comp355_c0,0.828714741961517,2.23836504387267,0,0
comp680_c0,0,0,0.869764065703122,0
comp1097_c0,0,0,0.956451514112071,0.885499714501233
comp1262_c0,0,0,0,0
comp1539_c0,0,1.07135420903307,2.46061457904046,2.27808046209292
comp2010_c0,18.9295893690157,13.1945728901968,0.631341898569591,11.6901497396873
comp2170_c0,1.86877955234275,0,0,0.894414141157286
comp2190_c0,3.63984514116431,2.45781259719352,2.82246966419346,1.74206152983576
comp2223_c0,0,0,1.74479942877414,0.807683072923852
comp2280_c0,0.886777558277292,92.2149369666781,20.1707704664017,0
comp2471_c0,0,1.10277222102818,3.37703115246608,0
comp2797_c0,38.6733546248708,15.1937506008327,5.81599809591381,1.34613845487309
comp2839_c0,0.809442306101947,1.09315502142619,0.836895074848062,0.774812250188579
comp3117_c0,1.29210279953165,0.872494959096541,0.667962658347409,0
comp3363_c0,0.862068586065232,0,0.891306209745305,0
comp3730_c0,1.71528636529201,0,2.95576905285147,0
comp3888_c0,0,1.08998645614669,1.66893858404483,0
comp3903_c0,0,3.21406262709922,4.92122915808091,0.759360154030972
comp4003_c0,0,0.914952134721677,2.10140077188127,0
comp4124_c0,0,0,0,3.61159097648877
comp4584_c0,2.67738608941413,0,0.922730467140171,0
comp4768_c0,0,0,0,1.78882828231457
comp4982_c0,1.62835177367877,0,0,0
comp5227_c0,1.75124624716396,5.51848488803829,0,3.35264671779712
comp5672_c0,2.88547309118207,3.89684277067989,3.72916976357168,1.38101250810814
comp5704_c0,2.61863467052417,2.35765095530162,7.21985970527231,0.835534213369502
comp5751_c0,4.12079719470082,3.97510916882251,6.6951605987845,27.0479912793104
comp5869_c0,0,40.4108411502744,1.71875764625512,0.795628101686183
comp5883_c0,0,0,0,1.6402179327069
comp5946_c0,0.634278253528633,0,1.31158043620835,2.428568693074
comp5964_c0,0,0,8.26483939945646,0
comp5964_c1,0.616035737387323,0.831958688873029,1.91078698505133,0.589680119612547
comp6087_c0,0,0,0,1.7535224609531
comp6750_c0,0,9.28506981161998,2.66566579396049,2.46792050060066
comp7072_c0,3.81435826437082,0,2.36623484176219,3.65117005568317
comp7187_c0,0.754602041460894,0,0,0
comp7248_c0,0,0,0,0
comp7313_c0,0,0,1.82210066928945,1.68693300041058
comp7361_c0,0,1.24107368769178,12.3517979363714,1.75930966379453
comp7859_c0,2.28861495862249,3.09078351263514,4.73246968352438,2.1907020334099
