,Rhop_mean,Man_mean,M,D,prob,ranking,Length
comp119_c0,0.450884009953174,1.20854479845944,-1.42244269946857,0.757660788506269,0.503346587143804,-1.61164298270782,350
comp355_c0,0.469670843701223,0.179842975961227,1.38491222258904,0.289827867739996,0.282902584493042,1.41491415188174,336
comp680_c0,NA,NA,NA,NA,NA,0,331
comp1097_c0,NA,NA,NA,NA,NA,0,301
comp1262_c0,NA,NA,NA,NA,NA,0,384
comp1539_c0,0.224799720062124,0.0860786893489632,1.38491222258904,0.138721030713161,0.200644848855584,1.39184244389896,351
comp2010_c0,2.76858602602826,4.10799218774592,-0.569284087797836,1.33940616171765,0.511339654381404,-1.45536704602895,456
comp2170_c0,0.132390439164103,0.40555194579176,-1.61508777741096,0.273161506627656,0.272047203955753,-1.63802495019013,298
comp2190_c0,0.515717004848402,0.789898561084604,-0.615087777410961,0.274181556236202,0.241583830351226,-0.673430397071933,306
comp2223_c0,NA,NA,NA,NA,NA,0,330
comp2280_c0,19.3492421468759,0.192443439245134,6.65169876328394,19.1567987076307,0.996082479482082,20.2787581760362,314
comp2471_c0,0.231392087219371,0.088602991089402,1.38491222258904,0.142789096129969,0.200644848855584,1.39225378083528,341
comp2797_c0,3.18806875724467,8.39267221152392,-1.39644749093562,5.20460345427925,0.8880537289086,-5.38868840361325,396
comp2839_c0,0.229374132970365,0.175660581171431,0.384912222589039,0.0537135517989341,0.141904980374165,0.388641949286603,344
comp3117_c0,0.183073553925303,0.280404825628641,-0.615087777410961,0.0973312717033384,0.172893408778101,-0.622740997824734,431
comp3363_c0,0.122143501148306,0.187081238151617,-0.615087777410961,0.0649377370033109,0.149801192842942,-0.618506171034265,323
comp3730_c0,0.0810109874145847,0.372241724371492,-2.20005027813212,0.291230736956907,0.285359637049498,-2.21924234108348,487
comp3888_c0,0.22870928041103,0.087575710033293,1.38491222258904,0.141133570377737,0.200644848855584,1.39208496470728,345
comp3903_c0,0.674399160186372,0.0860786893489632,2.9698747233102,0.588320470837409,0.450960901259112,3.02758597707202,351
comp4003_c0,0.191982242680792,0.0735124573272168,1.38491222258904,0.118469785353575,0.189769077840648,1.3899701271316,411
comp4124_c0,NA,NA,NA,NA,NA,0,369
comp4584_c0,0.126449842534945,0.581031153105502,-2.20005027813212,0.454581310570557,0.379341897333945,-2.24652295653288,312
comp4768_c0,NA,NA,NA,NA,NA,0,298
comp4982_c0,0.115357751084511,0.353375672064165,-1.61508777741096,0.238017920979654,0.255795993271142,-1.63253210058784,342
comp5227_c0,1.15793063352754,0.380045534106743,1.60730464392549,0.777885099420801,0.513004027119335,1.78564650653071,477
comp5672_c0,0.817665303023891,0.626189014745826,0.384912222589039,0.191476288278065,0.208920833970536,0.429907650631131,386
comp5704_c0,0.494700324400034,0.568281253194096,-0.200050278132117,0.0735809287940613,0.156739052862313,-0.21315315353739,319
comp5751_c0,0.834087756255872,0.894272049600011,-0.100514604581203,0.0601842933441391,0.127965540092777,-0.117155174445899,473
comp5869_c0,8.47931123195522,0.0901899103327943,6.55483722403135,8.38912132162242,0.983595860733038,10.6462785790363,335
comp5883_c0,NA,NA,NA,NA,NA,0,325
comp5946_c0,0.0898686807993229,0.137647471350734,-0.615087777410961,0.047778790551411,0.141915175612989,-0.616940667120358,439
comp5964_c0,NA,NA,NA,NA,NA,0,418
comp5964_c1,0.174567924207534,0.133688583900381,0.384912222589039,0.0408793403071533,0.132482030891574,0.387076916855529,452
comp6087_c0,NA,NA,NA,NA,NA,0,304
comp6750_c0,1.94826424053841,0.0932519134613768,4.38491222258904,1.85501232707703,0.784054646480094,4.76114754375649,324
comp7072_c0,0.108088632523021,0.827770409903729,-2.93701587229832,0.719681777380707,0.504174950298211,-3.02390543748083,365
comp7187_c0,0.106916940029547,0.163759457785832,-0.615087777410961,0.0568425177562857,0.149801192842942,-0.617708706224244,369
comp7248_c0,NA,NA,NA,NA,NA,0,414
comp7313_c0,NA,NA,NA,NA,NA,0,316
comp7361_c0,0.260411556903649,0.0997149173646406,1.38491222258904,0.160696639539008,0.211645511546108,1.39420417236345,303
comp7859_c0,0.648531795138128,0.496662245942237,0.384912222589039,0.15186954919589,0.193278788805628,0.413789534753354,365
comp7995_c0,NA,NA,NA,NA,NA,0,302
comp8137_c0,0.131070933125923,0.803019799640826,-2.61508777741096,0.671948866514904,0.484477748891268,-2.70003691877998,301
comp8146_c0,3.71025243300026,1.13656250638819,1.7068403174764,2.57368992661207,0.815662435642555,3.08823310449638,319
comp8805_c0,0.753866577151008,0.769773756980537,-0.0301252766898049,0.0159071798295294,0.0410664219809349,-0.0340671493636654,314
comp8888_c0,NA,NA,NA,NA,NA,0,310
comp9672_c0,0.171905668282801,0.921548321265371,-2.42244269946857,0.74964265298257,0.513704949788449,-2.53578247083209,459
comp10085_c0,0.108684162178795,0.332932451366238,-1.61508777741096,0.224248289187442,0.244553193658561,-1.63058143738538,363
comp10231_c0,NA,NA,NA,NA,NA,0,313
comp10276_c0,NA,NA,NA,NA,NA,0,345
comp10479_c0,1.51255019313365,1.93058274514288,-0.352053371577167,0.418032552009229,0.284416577458327,-0.546527941626226,313
comp10949_c0,1.43865515097261,0.593254809902953,1.27799701867253,0.845400341069659,0.530682571239231,1.53231136405646,713
comp10976_c0,1.30267196271849,0.142517075290029,3.19226714464664,1.16015488742846,0.643941479329153,3.39654661172412,424
comp11024_c0,0.517407880274134,0.198122098108106,1.38491222258904,0.319285782166029,0.299813936891472,1.42124075193821,1220
comp11027_c0,4.21875902379806,4.47346194494389,-0.0845730607121812,0.254702921145824,0.169082938267829,-0.268376937605381,1702
comp11028_c0,9.49590650791104,4.93774449382283,0.943453545573265,4.55816201408821,0.778651169903655,4.6547766368894,4271
comp11038_c0,0.23910515679335,0.549338544754293,-1.20005027813212,0.310233387960943,0.294010297191212,-1.23950208755399,330
comp11049_c0,8.18760085019572,4.60157224518031,0.831313892777218,3.58602860501541,0.724871285109854,3.68112536384095,2390
comp11063_c0,1.05608587417331,1.38647586821351,-0.392695356074513,0.330389994040206,0.258291277973187,-0.513193132109517,523
comp11064_c0,NA,NA,NA,NA,NA,0,399
comp11066_c0,1.30636923413585,2.00090198420438,-0.615087777410961,0.694532750068524,0.381495641535403,-0.927743884290327,302
comp11071_c0,0.586216209077307,0.359151500285124,0.706840317476401,0.227064708792182,0.227251873375134,0.742416066898487,673
comp11079_c0,NA,NA,NA,NA,NA,0,360
comp11085_c0,38.7211069447872,3.94670410794346,3.2943999296836,34.7744028368437,0.996803792628842,34.9301039728739,1133
comp11086_c0,5.17614843426244,3.96402693894698,0.384912222589039,1.21212149531547,0.456224193301728,1.27176882274423,625
comp11098_c0,NA,NA,NA,NA,NA,0,407
comp11127_c0,8.15561145183273,6.70842603993864,0.281818729624935,1.44718541189409,0.45477392057909,1.4743701749447,2351
