,SA01,SA02,SA03,SA04,SA05,SA06
TRINITY_DN8_c0_g1,394.519045955662,26.3056686919801,74.3675664252893,341.25431348851,3.2142452973315,26.665339369308
TRINITY_DN8_c0_g2,71.5210668055256,175.543651081219,237.250948405256,137.000258928172,271.94434729595,374.302460904412
TRINITY_DN1_c0_g1,387.501485703352,297.876396682346,406.844197168223,211.705631154583,58.081234940167,130.083921070382
TRINITY_DN78_c0_g1,88.156722593124,79.3629941909619,57.351646230037,56.9831831081425,23.7492822855048,35.6771927044215
TRINITY_DN78_c0_g2,49.8648670357837,55.6961894765874,41.7619680377103,33.1358008243941,36.2653144311676,35.0711274794847
TRINITY_DN18_c0_g1,141.565629113339,11.0569871345447,1.96884468234425,157.213348493496,5.68268154224093,1.93986521208503
TRINITY_DN18_c0_g3,47.7126271632513,63.0380951040667,60.3784905401841,51.8354963587865,80.4939371366442,145.456170908212
TRINITY_DN53_c0_g1,1.99840596708817,352.950340272613,62.2596497147774,4.89930560777714,137.61561651575,45.7525351792534
TRINITY_DN28_c0_g1,248.935844774125,61.2434903408056,401.505201429512,203.036635664316,9.05128241848983,142.033434403009
TRINITY_DN91_c0_g1,49.2528252193147,68.5070583405504,60.3442227268843,19.4746047844379,19.6669648691439,32.8284271643151
TRINITY_DN91_c0_g2,50.1977928428664,67.9201692536802,20.4211050886992,29.8464313618679,9.21975892717832,5.56514433226929
TRINITY_DN31_c0_g1,34.1177564421614,43.7611955918072,25.2916723653574,43.0902236634062,25.0650421863298,22.4369353483179
TRINITY_DN31_c2_g2,22.7153272507136,35.9328386245712,36.8737354334956,87.3610013997824,45.3888459573151,70.7901724883904
TRINITY_DN85_c0_g1,89.8650227199285,72.4692985638822,79.5943529451902,51.7617416587227,49.7806764713901,51.7594292983933
TRINITY_DN85_c1_g1,48.3793988530051,24.1188829853438,20.1188635619194,7.13592338166539,2.16245512825421,1.90847883941908
TRINITY_DN85_c1_g2,41.4742794695954,23.0137664763318,21.3693212330229,21.4103918562055,6.19011718338238,7.40553495806076
TRINITY_DN10_c0_g1,0.304178242290433,0.381844245029543,582.928568074073,0,0,12.4408489125797
TRINITY_DN3_c5_g1,2752.35891593709,2061.91245013429,2353.76694337377,2209.10504756709,1422.15360118289,1911.88699349772
TRINITY_DN20_c0_g1,35334.1448235426,3614.44661616472,484.420521901026,10402.6867984975,654.118973163115,402.415475755958
TRINITY_DN20_c13_g1,31779.7833161114,2602.88597117763,291.804165402088,5342.08666561815,135.480439282522,295.729960558549
TRINITY_DN72_c0_g1,122.517361211001,86.4684191107455,62.263204619748,45.7605245427431,48.3631461367748,46.4228281024666
TRINITY_DN72_c0_g2,49.7037108791666,41.0045730895767,45.7083542650553,31.682691984109,28.1770120747381,39.448209209631
TRINITY_DN72_c1_g1,261.082456922797,365.292129775824,380.384519268772,343.369653015079,297.538232860117,325.262788894163
TRINITY_DN77_c0_g1,26.4140852485315,8.57131675224852,11.1963949108586,25.6619526938573,4.6987080035062,9.98138013651902
TRINITY_DN38_c0_g1,2.18555550042649,0.15242192350893,778.431891135116,0.458478537880537,0.138936366382745,781.325409441869
TRINITY_DN30_c0_g1,0.48321986591708,247.252959672304,23.2255759836123,19.8935191742384,323.407368159253,65.4212655325866
TRINITY_DN56_c0_g1,43.4828274247733,32.699864804379,30.4845221041948,42.7689777859322,12.5841710067491,18.9374672206216
TRINITY_DN56_c0_g2,3.96840902314727,2.70742670910778,2.53774068479518,3.80045034338036,1.48073198612661,1.30682279851747
TRINITY_DN56_c2_g1,0,1.98432516568148,1.66067768858602,3.97917604719506,0.904380819683955,1.99540748220836
TRINITY_DN50_c0_g1,171.454148312678,73.8183994399916,20.1394912415796,70.3741400164914,33.4072793695376,6.32786039433651
TRINITY_DN50_c0_g2,46.2653808465815,60.8959190958921,15.5172967294223,19.8208815409179,25.6828715279808,3.47308761768157
TRINITY_DN50_c0_g3,95.7893899020256,22.1858577551887,17.8246071908233,2.59521493355835,6.74098666523688,1.78478113686414
TRINITY_DN50_c0_g4,192.020293770323,188.18733350755,33.2683101720421,209.69443737517,183.802614025997,18.1699740287252
TRINITY_DN59_c0_g1,2.65425063364678,3187.16860347884,105.088635033014,162.045129471018,2814.88715071584,130.672258204519
TRINITY_DN15_c0_g1,135.064616176441,52.4166245805624,26.3656905552036,96.8672668190611,16.6166576815416,19.3213286093034
TRINITY_DN15_c0_g2,202.887326115516,194.740870782979,241.338842964266,232.353956069628,197.80212250682,141.718998104484
TRINITY_DN58_c0_g1,353.989444538745,134.258971047248,92.9704363742608,51.2995846912794,25.2852033905721,82.8814340953242
TRINITY_DN69_c0_g1,28.9228190819897,83.5619405430187,58.5022957475894,6.26051402332593,14.2450584414727,11.9979390429
TRINITY_DN52_c0_g1,231.957028802452,181.751761454679,215.391580702541,258.253257606562,214.460989402571,233.321272985396
TRINITY_DN52_c1_g1,114.431121790041,121.247049129562,142.854562690791,161.190988258795,187.006340432625,211.593329960761
TRINITY_DN82_c0_g2,84.5388762514059,9.0034244562875,0.972251301317635,86.1961880477853,11.6484249575293,1.16822038049289
TRINITY_DN82_c1_g1,117.661956137604,178.689102728009,154.140279724559,70.611678630756,79.1308429965286,89.9127173819452
TRINITY_DN82_c2_g1,288.56706996978,92.7071317882125,115.969076988459,142.386829427556,36.2810514955117,44.5581277877406
TRINITY_DN82_c2_g2,6.73957628161334,2.68403987325819,0.721336606231402,5.89401620693124,1.60233037665695,1.12522942814012
TRINITY_DN82_c2_g3,4.11275835571476,1.93323373699699,1.48467895680564,1.53928674749261,0.587396844678449,0.350687893052565
TRINITY_DN82_c3_g2,53.0162197621961,80.798125599792,74.1508685463859,51.7689120620141,67.1827117968184,81.8042512473451
TRINITY_DN82_c14_g1,77.3234035657271,94.5683987803087,119.861002184249,148.320083138939,151.801282691207,152.427903901546
TRINITY_DN42_c0_g1,74.9166734675063,42.651679168048,38.8614459092316,183.075757990423,74.3824120357128,55.9577132605349
TRINITY_DN42_c1_g1,96.695725248757,101.154249580694,109.811123004985,166.843556326297,239.985841084839,170.112091022458
TRINITY_DN42_c3_g1,77.2196369762853,80.1727726636174,44.5276308911442,73.0776437564719,34.3252066238982,38.8444381270356
TRINITY_DN42_c5_g2,1.65615485498695,1.38601454088815,1.62393384384941,11.8123696758925,0.631693327414823,1.11500426771556
TRINITY_DN42_c13_g1,5773.21009046742,2261.65768776042,1155.84540690131,796.577448049767,508.238644937577,1454.43772874059
TRINITY_DN25_c0_g2,65.2380663181001,12.0580568530925,0.624208033919883,71.1691893374881,6.74203584604081,0.700023107377064
TRINITY_DN25_c0_g3,354.192842378591,156.41721584074,76.5182276020672,364.657152957036,39.6987455858774,25.8382452436311
TRINITY_DN25_c0_g4,187.887714915425,84.8756310404256,18.6133066240456,434.834659929485,127.619405070277,17.8162223219713
TRINITY_DN39_c0_g1,88.2284989504209,58.7500440700902,33.9557470964303,58.9252706969448,14.5217125243072,27.3297315140757
TRINITY_DN21_c0_g1,205.358530812381,67.2743471315031,57.0387430106346,226.279927129949,71.5892783848157,54.9438008440792
TRINITY_DN67_c0_g1,66.5076629609142,106.31268653034,168.034839482151,84.1962810457886,109.173317314671,237.738260414375
TRINITY_DN67_c1_g1,86.8421673723965,78.9858594582833,75.0998852731845,88.1775668420394,74.067789026944,81.8123372310426
TRINITY_DN24_c0_g1,7.86615667883193,17.6541525892154,41.4582325040887,16.6746385411452,15.1227887264862,44.7989571510753
TRINITY_DN24_c1_g1,95.487095595577,16.0594680801634,0.43008435581075,189.574934449528,8.10002740846963,0.0861288484277602
TRINITY_DN32_c0_g1,12.1394494715689,17.8906756937842,86.360221839539,8.64873913857845,7.64427887837863,70.9985936244556
TRINITY_DN4_c0_g1,24.673109638986,30.1385428172513,43.8023298016132,18.1779969961715,17.0234182165504,30.9263320645007
TRINITY_DN86_c0_g2,161.590987623968,80.0695960891866,57.5995842076011,41.7090906543563,9.43083777942229,15.6355788833501
TRINITY_DN86_c0_g3,221.712507416707,93.4090748196781,65.5018085386353,27.1276822323172,7.93573064330326,2.82469426538932
TRINITY_DN86_c1_g1,22.9842701052303,19.5209097148486,25.1297740723083,28.8816425392723,18.5171186607521,22.4706871001912
TRINITY_DN86_c2_g1,154.544624536609,68.48988990876,49.0176697747641,11.1941068101872,2.15276670922081,0.172720755180401
TRINITY_DN6_c0_g1,66.2091965448461,97.7114347360449,161.268015982409,60.5008869998933,61.7253829103907,126.526384129989
TRINITY_DN99_c0_g1,153.94799806666,214.821916496103,158.716683626038,114.207240691204,139.34500753523,206.681727392906
TRINITY_DN2_c0_g1,21.4604767785449,169.303336067141,11.1882529109007,9.59052909578449,40.3632900738622,1.94634815066269
TRINITY_DN2_c7_g1,42.6113475335428,4.36349596556256,134.787254590275,4.54664022639467,0.155977838210088,5.98814624601874
TRINITY_DN12_c0_g1,69.9828072850294,22.7309466450049,49.9960910977735,33.0294836680111,3.56121941447534,12.9647136723405
TRINITY_DN12_c0_g2,114.533367391767,128.829418352033,161.068151621672,106.874990201212,65.2699974105044,83.5053095413867
TRINITY_DN76_c0_g1,152.015238696439,83.6970945695341,143.436684672864,125.032919820891,51.097883647976,89.5145307798474
TRINITY_DN43_c0_g1,59.1576320618751,32.4161198837403,35.3625366879437,100.915593859162,40.430614061434,35.1958164775744
TRINITY_DN43_c0_g2,53.8623164567395,59.8846373281868,62.8512927200367,51.4543437529475,50.8073597185038,75.114359323017
TRINITY_DN40_c0_g1,22.8034974870989,22.3210298686641,27.8347177191797,27.4184334967198,21.9854378337474,32.2537136839396
TRINITY_DN94_c0_g1,0.589565550694198,0.112136311574137,519.122133047165,0.112433721235241,0,693.083952380455
TRINITY_DN68_c0_g1,869.167466622883,441.12311635086,61.0894339634503,740.61648952255,146.021327146171,28.129719755341
TRINITY_DN83_c0_g1,1.26061832397436,3667.80972588471,229.474610071579,190.189514321257,3988.8100203268,446.325518578619
TRINITY_DN98_c0_g1,37.2084612706272,88.040512755244,80.8872438527461,66.2495602841034,185.81095916851,89.6985054526969
TRINITY_DN60_c0_g1,100.633442394502,160.171910217057,181.578678838403,55.3546143469917,73.1980156369183,91.3187630244096
TRINITY_DN60_c1_g1,1.02990843981759,1015.81458358198,142.369067019356,30.2471056792999,793.256912598521,124.946083932802
TRINITY_DN34_c0_g1,235.332566785365,247.562352194154,235.554669529725,140.274542862931,137.193849723889,142.668720040009
TRINITY_DN37_c0_g1,171.65859110034,77.4424181404369,52.5555128796798,281.870020973901,45.0087754303478,58.2258321743684
TRINITY_DN37_c0_g2,5.80429008534317,4.67070689582921,3.12712406856549,3.74647569355792,0.425746526225487,1.12723019170367
TRINITY_DN89_c0_g1,23.9164723998478,22.4642179148093,20.0499060943723,19.5128618103689,12.7487825083055,19.8335379513262
TRINITY_DN89_c0_g3,48.356555512119,71.2738638410911,76.6078862243896,40.5960620134049,59.8494853083048,51.7503977371597
TRINITY_DN64_c0_g1,79.0585432093937,75.7587000754821,20.1179239988707,293.748460341149,174.416300939048,18.5857954057121
TRINITY_DN64_c0_g2,0.947124258213767,0.11008833620769,214.263817107057,0.883042513574644,0.501741254200954,275.695179112461
TRINITY_DN93_c0_g1,135.876626820917,136.300294506821,97.8220880413762,62.6185778280156,30.3043109786739,32.5466725418584
TRINITY_DN36_c0_g1,6.85385338004309,104.713543242026,24.1134560744332,10.0310126868226,27.0540141236981,1.34138039513798
TRINITY_DN79_c0_g1,76.6471601350967,57.0798624623519,36.0379015575831,36.2102155222509,15.9953171346448,21.2279173439492
TRINITY_DN80_c0_g2,64.3543222665713,76.4171652988234,43.5812257224521,49.4805946261973,37.4917862513664,42.4625267503648
TRINITY_DN49_c0_g1,43.5514179364593,19.9252945333216,13.1155133499401,40.517465143487,5.91808556006221,2.52145674275971
TRINITY_DN16_c0_g1,293.939234996805,61.5840838670377,33.5266056063179,193.25273024742,12.6142142849101,10.2527945272196
TRINITY_DN81_c0_g1,361.301132737084,111.806316690331,30.2240310073452,126.063537546513,18.8196051431093,10.4477715852811
TRINITY_DN17_c0_g1,191.150194742334,102.240386775503,57.4204045268671,81.5478100979117,30.9440419354605,37.7308382182668
TRINITY_DN17_c0_g2,35.2895717192968,38.2825302585196,34.3313633784775,28.7578400181856,20.3038213219855,32.2512846398868
TRINITY_DN13_c0_g1,292.789431691742,144.420816510489,92.9912455896161,180.947077761121,34.2755114332492,32.0565736709153
TRINITY_DN13_c1_g1,51.3182979373431,40.0373091265022,38.5848161835321,66.1090027748224,46.6116850462124,50.9916471794145
TRINITY_DN62_c0_g1,53.4286306108317,74.5228812222973,79.0718375787639,0.812179695231242,4.72552736613766,4.17052306220587
TRINITY_DN62_c0_g2,66.0882260175828,27.3019073795072,51.152077424251,2.09722596973978,7.02437755881335,7.97062837138501
TRINITY_DN62_c1_g1,864.790739056275,655.349382662833,619.036763184703,714.714621572504,438.153207816305,536.996386138508
TRINITY_DN19_c0_g1,179.281751866832,33.4059667090867,21.7301262186215,217.425643045021,17.1573138307558,10.06752977584
TRINITY_DN46_c0_g1,77.6904321329847,127.12218010153,136.123318178622,68.3535868692858,83.2204419036876,96.2437627276363
TRINITY_DN46_c2_g1,1.39473338836418,165.52030872457,10.2750780288102,12.8953034316999,174.667265305307,22.9968687215431
TRINITY_DN51_c0_g1,2.11307507280856,12.9721825243012,37.8951408521582,0.291627523487984,3.97683845509241,10.061329933961
TRINITY_DN51_c0_g2,2.77211759691009,4.83322771066139,22.1661529665004,0,0,26.2451931169735
TRINITY_DN51_c1_g1,445.219473666759,55.1308748465221,70.2108537553762,505.252032858872,61.3753178071964,35.4628613407659
TRINITY_DN54_c0_g1,23.7253533444671,24.0978097243351,46.083130786031,38.051095611197,22.3603460115175,44.4599138483881
TRINITY_DN54_c1_g1,73.6891820677356,73.9654255151747,57.1084058764611,42.5238519274642,25.6077311619432,41.7065593783444
TRINITY_DN95_c0_g1,92.1239678831356,114.835223788181,147.395979352309,159.234001815769,114.676735357746,167.994924730246
TRINITY_DN41_c0_g1,22.3956300523703,46.4692875163226,87.5026171185872,30.8675538279231,36.0042225959998,84.8906809824836
TRINITY_DN41_c0_g2,18.4914548440578,31.1100567173882,89.4568300962668,35.7914714432317,39.2643537894247,73.6372621861251
TRINITY_DN41_c0_g3,8.35231644819368,12.7700925984985,48.1489389193909,17.7458415653134,15.5203418087698,52.0865720839679
TRINITY_DN45_c0_g1,89.3425227407592,46.6165332208989,33.3564755849768,53.8846162342262,10.8773584899896,16.3680609026064
TRINITY_DN45_c0_g3,65.6283849282049,80.9528572532692,115.907268706345,70.5845967061958,76.1099152829719,133.204691998738
TRINITY_DN45_c1_g1,4.58445082953202,4505.13303308505,60.513100624735,501.569167389974,8478.06264518561,223.769511219586
TRINITY_DN45_c1_g2,4.03282654004266,4364.51486441571,590.715613577273,263.603693899583,9328.52855842475,2074.11708490992
TRINITY_DN45_c2_g1,5.35058546950772,356.612248348497,35.8173710532582,23.5278168639576,691.23276470514,101.660363838849
TRINITY_DN45_c2_g3,3.04988304187345,326.282771950078,41.1556176682925,30.2835961354772,813.916244535755,136.546451397691
TRINITY_DN23_c0_g1,57.8258527583777,161.961403427927,83.3701289848597,7.98405222168483,26.0004755203653,22.0642005366903
TRINITY_DN47_c0_g1,123.571503212226,64.9070103037063,28.4498967878866,109.167555870179,13.7979211585838,20.848678459174
TRINITY_DN47_c0_g2,106.901904661147,34.5360514455883,25.3725384363555,65.5272685820212,13.3612752702189,25.2521764431521
TRINITY_DN87_c0_g1,74.892628093699,40.9246566194886,27.1278509948068,42.4586685124816,25.455474120475,20.3825863589494
TRINITY_DN87_c0_g2,18.6862666688519,3.06347186537401,179.857611736445,8.70285774979567,0,158.25385400951
TRINITY_DN87_c0_g3,41.7757250119257,62.539002804249,173.201371759887,3.86134405208682,14.423167695054,99.1395408854346
TRINITY_DN87_c1_g1,21.4926073259616,43.9214624233655,64.5886748289408,7.86391992960398,20.2560581299099,19.559565454079
TRINITY_DN84_c0_g1,77.0914024959133,135.059952982455,201.268814593004,66.8384697593605,88.2296540388869,161.12662329766
TRINITY_DN14_c0_g1,73.5015998474247,17.0238771244345,26.7348718240763,79.7450336756269,8.78872907981056,25.9497622534866
TRINITY_DN71_c0_g1,60.5810644944304,54.1865460607707,53.8128766005563,24.9527497959523,16.9477197355358,29.6234869129516
TRINITY_DN71_c1_g1,51.4772302969277,50.3433773933755,54.6580799718602,32.5295570547552,22.2418108572927,57.4292097326915
TRINITY_DN44_c0_g1,47.5083660268403,66.2262471321798,35.7014094246651,40.6853272746424,30.5209768134386,42.8974628737361
TRINITY_DN90_c0_g1,79.8891037196217,192.184992804322,310.493157517567,148.214279592574,310.218575450331,415.307055831274
TRINITY_DN75_c0_g1,2.08249416597954,210.373941123068,16.1623788018523,0.944559297601775,27.3714371928675,2.0367424989795
TRINITY_DN63_c0_g1,151.753443765007,111.224185803292,81.5744387821141,121.173444625741,58.5121810076821,57.2012699443815
TRINITY_DN63_c0_g2,56.1258115114294,46.4816836041926,61.1666409952732,56.2959001404573,33.0106946292022,45.2975032797696
TRINITY_DN35_c0_g1,13.7813607969131,75.7362710949692,14.6715178321578,25.826336956133,101.100198563394,52.7315842025131
TRINITY_DN73_c0_g1,738.878219689136,821.910838385778,713.012451019235,242.887233522574,141.464222357102,138.108050733511
TRINITY_DN48_c0_g1,23.6800133871746,52.1690207644135,85.8555668736243,20.5854867043314,44.9149129209412,43.4304264505196
TRINITY_DN48_c0_g2,0.615941420582241,136.65902611975,20.1972996771705,4.40489097633666,166.482347898682,73.7002692555913
TRINITY_DN55_c0_g1,1.57265670928187,6.659021552808,751.57075950164,1.80663179288417,4.14178915851337,409.398506662581
TRINITY_DN55_c1_g1,0.575975397597726,855.998456100784,38.6822363931614,29.4681667895745,459.028984338515,45.6173901301437
TRINITY_DN61_c0_g1,92.5651758766165,94.265697336857,120.085872555398,135.521553453509,121.031281131619,95.7511515079077
TRINITY_DN61_c1_g1,13.3232972983054,16.0064838773632,14.6533580587136,14.7388192545645,10.818663261509,20.1472226492639
TRINITY_DN29_c0_g1,35.3750808006733,24.0488363363188,14.539604957083,52.1227519167099,14.9762764095425,12.6753048422071
TRINITY_DN70_c0_g2,450.666268211274,763.554573503561,2098.26108640659,173.296531914254,120.751512691489,490.448325474761
TRINITY_DN70_c0_g3,43.3721419778053,44.795827489106,61.9119809729949,100.516355082166,65.9097083935948,106.140564056325
TRINITY_DN70_c0_g4,57.0731051789792,43.3478491270915,77.684113144773,10.7979347757418,13.5953055745494,20.6621771105513
TRINITY_DN70_c0_g5,32.1468373957468,31.5272715468471,17.1679111364246,16.1215532188414,20.3081093009557,15.5557766455106
TRINITY_DN22_c0_g2,108.634140164937,101.249651381484,90.9103491070984,63.5124521670832,37.3592576762865,54.3694217463968
TRINITY_DN22_c0_g3,0.220661094840747,0.115417757107918,71.4787354834316,0,0.105206150266703,19.3127762324259
TRINITY_DN22_c1_g1,20.429708398482,15.0212504801186,26.5733822798971,30.4895238065754,10.5753093555551,26.919084302795
TRINITY_DN22_c2_g1,86.6591366578264,69.9298988984834,68.5625763981976,48.214926219511,30.3125750166785,39.6927454699165
TRINITY_DN0_c0_g1,185.968977024263,142.068548369084,113.140602436184,377.456383120478,239.486687949204,184.885835718987
TRINITY_DN26_c6_g2,69.5268808791733,88.1786013496314,70.4911944107101,48.8130931933912,37.0696510276331,59.1402630810111
TRINITY_DN26_c9_g1,69.8751818239129,55.9822383972656,44.131016158986,49.7933765258266,34.9422819576452,26.5791147720056
TRINITY_DN26_c19_g1,130.760876804658,118.41531439886,99.9490243706289,117.091730744596,59.5522748339946,79.3625379140571
TRINITY_DN26_c35_g1,162.186445986187,102.922062600032,45.5598708736825,342.324643533571,205.728519282611,178.413902427198
TRINITY_DN57_c0_g1,88.0249379209633,66.2907500319849,38.864789398254,68.131204135465,37.3471679920786,40.4974392480443
TRINITY_DN9_c0_g1,168.463896462223,118.595324950354,93.7207598966814,118.364685078601,70.9302730015969,68.237502104131
TRINITY_DN9_c2_g1,73.3439583964232,65.7955545376599,50.3648784577915,51.0712830932091,25.8521059265382,16.3216478920385
TRINITY_DN9_c2_g2,37.2088239751819,35.5740169508245,41.8289979974657,12.0541295371692,3.59297500232244,7.21399507016278
TRINITY_DN9_c3_g1,164.866670420981,134.345290742399,130.749047405683,132.732678755286,128.075889078388,116.084162522823
TRINITY_DN74_c0_g2,40.5308119634647,21.0026120082453,13.9296004343101,60.0112557969492,30.0198606158549,43.9452777698993
TRINITY_DN33_c0_g1,128.443515858621,26.6092848409161,43.3238258411958,69.0424021559973,4.41000428610644,11.4550330890527
TRINITY_DN5_c1_g1,141.705789700982,165.032449920006,143.335318725585,81.7812378026963,45.2424584057328,43.9882464348204
TRINITY_DN5_c1_g2,279.802625039837,229.231629494222,201.945560849857,174.967013460883,130.381601989846,115.962320111659
TRINITY_DN5_c2_g1,46.211078756386,38.479439118716,21.865813679431,25.7750322955836,13.1899548797935,25.2976468022727
TRINITY_DN96_c0_g1,703.182949519827,94.4828159617711,4.40771536512207,734.945525966829,77.0890442445188,11.5234782097533
TRINITY_DN27_c0_g1,77.9298026159701,61.4143231897857,87.6854109599793,52.6308376280433,33.9613479688185,46.2195093317624
TRINITY_DN7_c0_g1,510.340302539219,89.2546258999067,37.9491636965916,372.542334886284,48.8146840818122,39.6024017235062
TRINITY_DN7_c0_g2,30.88439742615,21.3202904095038,6.03913795992987,19.239152772334,0.747460533722365,0.659672699456972
TRINITY_DN7_c0_g4,158.946872467156,46.6262783525264,7.51523978856334,49.2234831567886,8.09543047241421,1.48846612186353
TRINITY_DN7_c0_g5,64.1023245688998,16.5142850959676,3.81955868374785,19.267589281155,1.73339657106091,1.36877951849731
TRINITY_DN7_c6_g1,668.583305690219,855.810877048141,357.678611477775,552.136855338098,166.341672187629,27.2524475758946
TRINITY_DN11_c0_g1,112.460122214198,117.187164865858,124.542090415078,66.0255870614328,70.2610041974361,66.0650693415995
TRINITY_DN109_c0_g3,1.19787451484977,2.2424021380967,0.70650796462388,0.462895479478616,0.0601178001524016,0.318342465369657
TRINITY_DN109_c0_g1,115.009405921806,53.1612718949172,75.442366103835,93.5977607884611,24.8085483769036,30.284439163096
TRINITY_DN109_c0_g2,29.6405604945668,23.636675183571,19.3135361924434,25.228356012825,8.80350334896807,5.5204686238089
TRINITY_DN109_c0_g4,0.942577022406156,0.788830497962266,0.176045503119243,1.58184529283557,0.0599198814687723,0.264412020276169
TRINITY_DN195_c0_g2,233.544669140827,6.01305735557979,8.92689001700808,157.93372525288,2.38306566234234,1.57738431081283
TRINITY_DN195_c0_g3,2.48692960309116,0,14.9796373134606,1.56509937361174,0,2.5114835541541
TRINITY_DN167_c0_g1,16.4479330372814,19.2808493371296,27.2883978689151,25.4497034890122,30.9230532676963,34.7521020751667
TRINITY_DN167_c1_g1,54.8176520178284,56.4390961629566,52.975483689096,46.822027796419,38.3777372106606,47.0696250551918
