,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN8_c0_g1,2111.47137963669,-1.8843850690014,0.855536237391092,-2.2025777362134,0.0276245245460313,0.135160745044956
TRINITY_DN8_c0_g2,2746.38941107209,-0.316548275415071,0.734163560188122,-0.43116860135902,0.666345782513264,0.923105035078943
TRINITY_DN1_c0_g1,11919.3317735243,-0.65389255624134,0.796184297260095,-0.82128290961223,0.411485140154811,0.783743169460185
TRINITY_DN78_c0_g1,1631.64092109845,0.0931581518125072,0.591722935293793,0.157435425020755,0.874901696427419,0.980325400990872
TRINITY_DN78_c0_g2,5777.56893505482,0.300082841823304,0.44209403078587,0.678776054247722,0.497279768395706,0.850593603674327
TRINITY_DN18_c0_g1,936.066403689529,2.09463349801987,0.490822388045585,4.26759974491085,1.97587432821067e-05,0.000310448073461249
TRINITY_DN18_c0_g3,1007.68253880374,-0.445249720013413,0.730057320424987,-0.609883234585224,0.541939159159585,0.874339196987659
TRINITY_DN53_c0_g1,4535.70952186103,2.15242124254548,0.647298137297333,3.32523935806843,0.000883426568598901,0.00820662442557325
TRINITY_DN28_c0_g1,3303.79657786092,-3.04478271211643,0.816362747725349,-3.72969335090336,0.000191712945702752,0.00221024668352221
TRINITY_DN91_c0_g1,945.842243231006,-0.130205686176186,0.701667465793241,-0.185566087247593,0.852785050055,0.975261790162969
TRINITY_DN91_c0_g2,602.749927084643,1.48291364701383,0.899454023637268,1.64868198712052,0.0992128023001516,0.345123254823074
TRINITY_DN31_c0_g1,1467.46915916001,0.543368868877157,0.446889037658426,1.21589214119966,0.224026012191429,0.576239376519342
TRINITY_DN31_c2_g2,1416.62389570399,-0.316643880881032,0.864804838942024,-0.366144899545664,0.714256955234368,0.936816428723409
TRINITY_DN85_c0_g1,1057.65322717448,-0.0339749613842967,0.499926917656141,-0.0679598560997376,0.945817590559515,0.992098029995939
TRINITY_DN85_c1_g1,44.4097187249849,0.182295832430008,1.39441884144824,0.13073247937519,0.895986938009484,0.983826495176805
TRINITY_DN85_c1_g2,281.234742755711,-0.00606385357731469,0.753231818699463,-0.00805044798530232,0.993576741226648,0.999060769539125
TRINITY_DN10_c0_g1,1637.29351421495,-10.7012749645316,2.952530501529,-3.62444179966637,0.000289586220275442,0.0031497073765663
TRINITY_DN3_c5_g1,17237.2940581358,-0.238890645706155,0.40755429306861,-0.586156617091354,0.557770272188559,0.883654035414633
TRINITY_DN20_c0_g1,31791.8309025906,2.12864161864761,0.825754860857195,2.57781300425882,0.00994277874804229,0.0610641221340892
TRINITY_DN20_c13_g1,12727.835644284,1.98151055387767,1.14654028856048,1.72825200618595,0.0839430535015029,0.307379710615797
TRINITY_DN72_c0_g1,3735.50151565802,0.335977935453453,0.605642204662986,0.554746569619286,0.579068017889515,0.892588064781739
TRINITY_DN72_c0_g2,835.363616810101,-0.252163782360434,0.466999613503998,-0.539965719603909,0.589220673645544,0.89545489462584
TRINITY_DN72_c1_g1,4872.99094739843,-0.0132345352757785,0.46855144434724,-0.0282456396953724,0.977466236517011,0.997182113319998
TRINITY_DN77_c0_g1,259.929159666335,-0.664760399623164,0.46327948132206,-1.43490145025663,0.151315182391604,0.45341613479631
TRINITY_DN38_c0_g1,2004.15228270973,-12.3445399064436,1.23798354998491,-9.97148944878475,2.03159011279998e-23,3.49922303037759e-21
TRINITY_DN30_c0_g1,2295.13749984481,2.75592647226699,1.31365448108933,2.09790817291748,0.0359132579056622,0.165633362613833
TRINITY_DN56_c0_g1,737.261081266072,-0.145159844446609,0.509533808385951,-0.28488756203721,0.775730285363414,0.955505653537808
TRINITY_DN56_c0_g2,15.8798822031622,0.166102275404712,0.940195374327548,0.176667828772837,0.859769312255184,0.976762795644348
TRINITY_DN56_c2_g1,3.98738823584852,-0.373429525910258,2.1106531034858,-0.17692605444899,0.859566472966987,NA
TRINITY_DN50_c0_g1,763.204008063289,2.06913362083894,0.723636264414174,2.85935589824817,0.00424502233847496,0.0305225899967936
